ozon_id,n_rows,n_answers,n_tasks,n_pages,n_projects,n_pools,active_days,span_days,skip_rate,tasks_per_page_mean,overlap_mean,overlap_std,price_mean,share_gold_tasks,share_rehab_pools,n_gold,gold_acc,gold_acc_std,gold_longest_success_streak,gold_longest_error_streak,gold_recent5_acc,gold_recent10_acc,gold_first5_acc,gold_class_gap,gold_learning_delta,n_regular,reg_agreement_proxy,reg_agreement_std,regular_answer_entropy,regular_answer_mode_share,per_task_sec_median,per_task_sec_mean,per_task_sec_std,fast_task_share,slow_task_share,mean_hour,weekend_share,answer_entropy,answer_mode_share,main_project_share,pct_label_1,answers_per_active_day,answers_per_span_day,gold_share_among_answers
186913,374,368,374,159,1,42,19,29,0.016042780748663103,2.9732620320855614,4.735294117647059,15.649546166632888,61.096256684491976,0.05614973262032086,0.026737967914438502,21.0,0.9047619047619048,0.30079260375911915,12.0,1.0,1.0,1.0,0.8,0.16666666666666663,0.19999999999999996,347.0,0.899135446685879,0.3015841633984342,0.9818011450178945,0.579250720461095,9.0824415,20.449269319746378,35.9103924207305,0.0,0.11684782608695653,7.975543478260869,0.10054347826086957,0.9820064345200281,0.5788043478260869,1.0,0.5788043478260869,19.36842105263158,12.689655172413794,0.057065217391304345
187130,2242,2172,2242,904,2,53,25,29,0.031222123104371096,2.767172167707404,7.4286351471900085,21.78491142373761,63.193595004460306,0.09455842997323818,0.04906333630686887,210.0,0.8428571428571429,0.36480502568758205,20.0,3.0,0.8,0.9,0.8,0.07551487414187641,0.09999999999999998,1950.0,0.8769230769230769,0.32860975439446494,0.9830873787288792,0.5764102564102564,25.215838333333338,44.02837732696343,74.89641890546852,0.0,0.36960431654676257,21.010341726618705,0.2873201438848921,0.9844818000532594,0.5732044198895028,0.9244935543278084,0.5732044198895028,86.88,74.89655172413794,0.09668508287292818
207170,1525,1435,1525,748,2,132,27,30,0.058360655737704915,2.5029508196721313,13.301639344262295,30.480634163195788,50.485278688524595,0.13377049180327868,0.10491803278688525,187.0,0.7700534759358288,0.4219278556868693,14.0,4.0,0.8,0.9,0.8,0.11636141636141639,0.09999999999999998,1238.0,0.9063004846526656,0.29152798504229527,0.8623566819578066,0.7148626817447497,115.746802,152.38881166530706,119.01795449130269,0.0,0.9592114208021754,14.942895989123045,0.4459551325628824,0.8774237661940456,0.7031358885017421,0.9930313588850174,0.7031358885017421,53.148148148148145,47.833333333333336,0.13031358885017422
443760,24,24,24,24,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,27.7510895,38.82761908333334,31.75906347744693,0.0,0.4166666666666667,16.0,0.0,1.0,0.5,1.0,0.5,24.0,24.0,
1822348,16,16,16,16,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,35.651504,112.75004433333334,158.02960366223047,0.0,0.6666666666666666,6.466666666666667,0.0,0.9886994082884974,0.5625,1.0,0.5625,16.0,16.0,
1912869,30,30,30,15,1,1,2,1,0.0,2.0,99.0,0.0,0.0,1.0,1.0,30.0,0.8666666666666667,0.3457459036417604,12.0,1.0,1.0,1.0,0.8,0.2857142857142857,0.19999999999999996,,,,,,11.395938000000001,27.17341585,55.27016316466355,0.0,0.06666666666666667,8.466666666666667,0.0,0.8812908992306927,0.7,1.0,0.3,15.0,30.0,1.0
1915635,5,3,5,5,2,2,2,3,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,25.180423,33.826135,27.293230561630786,0.0,0.3333333333333333,18.0,0.0,0.9182958340544896,0.6666666666666666,1.0,0.3333333333333333,1.5,1.0,
1918911,73,73,73,73,3,3,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,5.437714,13.232577295774647,45.71476559125479,0.4647887323943662,0.028169014084507043,9.19718309859155,0.0,0.9605187074766162,0.6164383561643836,0.3424657534246575,0.6164383561643836,73.0,73.0,
1994115,3,3,3,3,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,74.043581,75.75467533333334,28.04086092973139,0.0,1.0,7.0,1.0,0.9182958340544896,0.6666666666666666,1.0,0.3333333333333333,3.0,3.0,
2102017,4,3,4,4,1,1,1,1,0.0,1.0,99.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,93.810209,94.631507,38.1430211672191,0.0,1.0,7.0,0.0,0.9182958340544896,0.6666666666666666,1.0,0.3333333333333333,3.0,3.0,
